capa,comparacion,registros
01_universo_actual_vs_universo_2026,en_ambos,46
01_universo_actual_vs_universo_2026,solo_universo_2026,6
01_universo_actual_vs_universo_2026,solo_universo_actual,193
02_santa_ana_actual_vs_denue2026_raw,actual_falta_en_denue2026,1
02_santa_ana_actual_vs_denue2026_raw,actual_y_denue2026,37
03_santa_ana_actual_vs_maryhelen_mh2,actual_falta_en_maryhelen_mh2,1
03_santa_ana_actual_vs_maryhelen_mh2,actual_y_maryhelen_mh2,37
04_santa_ana_actual_vs_maryhelen_mh,actual_falta_en_maryhelen_mh,31
04_santa_ana_actual_vs_maryhelen_mh,actual_y_maryhelen_mh,7
04_santa_ana_actual_vs_maryhelen_mh,solo_maryhelen_mh,42
05_denue2026_vs_maryhelen_mh2_diferencias,solo_denue2026,22
05_denue2026_vs_maryhelen_mh2_diferencias,solo_maryhelen_mh2,3
06_mayra_vs_denue2026_vecino_cercano,mayra_nombre_exactoy_cerca,7
06_mayra_vs_denue2026_vecino_cercano,mayra_revisar_nombre_o_distancia,42
07_alertas_falsos_positivos_2026,posible_falso_positivo_2026,2
