id,nombre_de_la_unidad_economica,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,categoria_clasificacion,decision_clasificacion,universo_revision,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,estado_revision_manual,establecimiento_encontrado,nombre_encontrado,giro_observado,evidencia_proceso_humedo,evidencia_mezclilla,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision,causa_revision_explicita,decision_automatica_revision,fuente_inclusion_automatica
10086701,LAVANDERIA MEXICO,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21429934,-98.38564064,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+MEXICO+AQUILES+SERDAN+NORTE+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21429934%2C-98.38564064,https://www.openstreetmap.org/?mlat=19.2142993&mlon=-98.3856406#map=19/19.2142993/-98.3856406,COMPLETADO,SI,LAVANDERIA MEXICO,LAVANDERIA_COMERCIAL,SI,NO,EXCLUIR_LAVANDERIA_COMERCIAL,ALTA,GoogleMaps,17/08/2026,NAB,"Se localizó en la ubicación registrada una lavandería comercial que coincide con las coordenadas, por lo que se considera una coincidencia válida del establecimiento.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
8776900,LAVANDERIA MARY,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.20780984,-98.37742389,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+MARY+REAL+DE+PUEBLA+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20780984%2C-98.37742389,https://www.openstreetmap.org/?mlat=19.2078098&mlon=-98.3774239#map=19/19.2078098/-98.3774239,COMPLETADO,SI,LAVANDERIA MARY,LAVANDERIA_COMERCIAL,SI,NO,EXCLUIR_LAVANDERIA_COMERCIAL,ALTA,GoogleMaps,17/08/2026,NAB,"Se localizó en la ubicación registrada una lavandería comercial que coincide con las coordenadas, por lo que se considera una coincidencia válida del establecimiento.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
3428103,LAVANDERIA NOVALAV,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21681889,-98.38075285,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+NOVALAV+LINDA+VISTA+SANTA+CRUZ+74196+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21681889%2C-98.38075285,https://www.openstreetmap.org/?mlat=19.2168189&mlon=-98.3807528#map=19/19.2168189/-98.3807528,COMPLETADO,SI,LAVANDERIA NOVALAV,LAANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA ,ALTA,GoogleMaps,17/08/2026,NAB,"Se localizó en la ubicación una lavandería industrial coincidente con el establecimiento registrado. En las imágenes de Google Maps se observa que el inmueble se encontraba clausurado al momento de la captura; sin embargo, la evidencia permite confirmar la existencia y el giro industrial del establecimiento. Se mantiene dentro del análisis, señalando que su estado operativo actual no pudo ser confirmado.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
3428125,LAVANDERIA SANTA CECILIA,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21684215,-98.38284012,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+SANTA+CECILIA+JOSEFA+ORTIZ+DE+DOMINGUEZ+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21684215%2C-98.38284012,https://www.openstreetmap.org/?mlat=19.2168422&mlon=-98.3828401#map=19/19.2168422/-98.3828401,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,GoogleMaps,17/08/2026,NAB,"Se encontró una edificación en Google Maps que podría corresponder al establecimiento; sin embargo, no se identificó nombre, señalización ni información adicional que permita confirmar la coincidencia.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
8089562,LAVANDERIA SANTY,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.20207742,-98.38492676,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+SANTY+PORFIRIO+DIAZ+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20207742%2C-98.38492676,https://www.openstreetmap.org/?mlat=19.2020774&mlon=-98.3849268#map=19/19.2020774/-98.3849268,COMPLETADO,SI,LAVANDERIA SANTI,LAVANDERIA_COMERCIAL,SI,NO,EXCLUIR_LAVANDERIA_COMERCIAL,ALTA,GoogleMaps,17/08/2026,NAB,"Se localizó en la ubicación registrada una lavandería comercial que coincide con las coordenadas, por lo que se considera una coincidencia válida del establecimiento.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
3428134,LAVANDERIA SANTA MONICA,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21429432,-98.38863919,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+SANTA+MONICA+ALAMOS+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21429432%2C-98.38863919,https://www.openstreetmap.org/?mlat=19.2142943&mlon=-98.3886392#map=19/19.2142943/-98.3886392,COMPLETADO,SI,LAVANDERIA SANTA MONICA,LAVANDERIA_INDUSTRIAL,SI,SI,INCLUIR_ALTA,ALTA,"GoogleMaps, OpenStreet, Facebook",17/08/2026,NAB,"Se localizó el establecimiento en Google Maps, con coincidencia tanto en el nombre como en las coordenadas registradas. Adicionalmente, se encontró evidencia en línea que confirma su relación con el giro textil, por lo que se considera una coincidencia válida y se mantiene dentro del análisis.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",INCLUIR_POR_MH,mh_filtrado
8089261,LAVANDERIA REY,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.21125165,-98.37655998,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+REY+10+DE+MAYO+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21125165%2C-98.37655998,https://www.openstreetmap.org/?mlat=19.2112517&mlon=-98.3765600#map=19/19.2112517/-98.3765600,COMPLETADO,AMBIGUO,NA,NO_ENCONTRADO,NO,NO,EXCLUIR_NO_ENCONTRADO,MEDIA,GoogleMaps,17/08/2026,NAB,"No se encontró el establecimiento en los enlaces de mapas consultados ni mediante búsqueda directa en Google, por lo que no fue posible verificar su ubicación o existencia con las fuentes disponibles.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",MANTENER_EN_REVISION,
8089452,LAVANDERIA RUGLAS,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,revision_fuera_universo_productivo,19.20291914,-98.3807764,https://www.google.com/maps/search/?api=1&query=LAVANDERIA+RUGLAS+ADOLFO+LOPEZ+MATEOS+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.20291914%2C-98.3807764,https://www.openstreetmap.org/?mlat=19.2029191&mlon=-98.3807764#map=19/19.2029191/-98.3807764,COMPLETADO,SI,LAVANDERIA GARY,LAVANDERIA_INDUSTRIAL,SI,SI,INCLUIR_ALTA,ALTA,GoogleMaps,17/08/2026,NAB,"Se localizó un establecimiento cuya ubicación y giro son consistentes con el registro de DENUE, aunque opera bajo un nombre distinto al registrado. Debido a la coincidencia espacial y a que la actividad observada es consistente con una lavandería industrial, se decidió incluir el establecimiento. Se deja constancia del nombre bajo el cual fue localizado para fines de trazabilidad y revisión.","SCIAN 812210 y nombre de lavandería sin evidencia explícita de lavado industrial, mezclilla, deslavado o acabado productivo",INCLUIR_POR_MH,mh_filtrado
8692049,TALLER DE MAQUILA,811499,Reparaci�n y mantenimiento de otros art�culos para el hogar y personales,revisar_maquila_sola,REVISAR,revision_fuera_universo_productivo,19.21599728,-98.38240275,https://www.google.com/maps/search/?api=1&query=TALLER+DE+MAQUILA+CALLE+DEL+REFUGIO+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21599728%2C-98.38240275,https://www.openstreetmap.org/?mlat=19.2159973&mlon=-98.3824027#map=19/19.2159973/-98.3824027,COMPLETADO,NO,NA,NO_ENCONTRADO,NO,NO,EXCLUIR_NO_ENCONTRADO,BAJA,GoogleMaps,17/08/2026,NAB,"No se incluye el establecimiento, ya que no fue posible localizar concretamente la maquila en el edificio señalado ni encontrar evidencia en internet que confirme su existencia o giro. Como referencia de ubicación, en la esquina de Calle Refugio se identificó Paletería Dulcería Joli, asociada al número +52 248 128 5667, pero no se encontró información que permita vincular este negocio con la actividad registrada en DENUE.",Nombre de maquila sin evidencia de objeto textil y con SCIAN no manufacturero,MANTENER_EN_REVISION,
9051736,TALLER DE MAQUILA,811499,Reparaci�n y mantenimiento de otros art�culos para el hogar y personales,revisar_maquila_sola,REVISAR,revision_fuera_universo_productivo,19.21530394,-98.38255817,https://www.google.com/maps/search/?api=1&query=TALLER+DE+MAQUILA+CALLE+DEL+REFUGIO+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Puebla+M%C3%A9xico,https://www.google.com/maps/search/?api=1&query=19.21530394%2C-98.38255817,https://www.openstreetmap.org/?mlat=19.2153039&mlon=-98.3825582#map=19/19.2153039/-98.3825582,PENDIENTE,NO,NA,NO_ENCONTRADO,NO,NO,EXCLUIR_NO_ENCONTRADO,BAJA,GoogleMaps,18/08/2026,NAB,"No se incluye el establecimiento, ya que no fue posible localizar concretamente la maquila en el edificio señalado ni encontrar evidencia en internet que confirme su existencia o giro. Como referencia de ubicación, en la esquina de Calle Refugio se identificó Paletería Dulcería Joli, asociada al número +52 248 128 5667, pero no se encontró información que permita vincular este negocio con la actividad registrada en DENUE.",Nombre de maquila sin evidencia de objeto textil y con SCIAN no manufacturero,MANTENER_EN_REVISION,
