id,clee,nombre_de_la_unidad_economica,raz_social,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,categoria_clasificacion,decision_clasificacion,decision_refinada,prioridad_refinada,regla_refinamiento,motivo_refinamiento,per_ocu,direccion_completa_denue,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,cod_postal,localidad,municipio,entidad,ageb,manzana,telefono,correoelec,www,tipounieco,fecha_alta,universo_revision,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,estado_revision_manual,establecimiento_encontrado,nombre_encontrado,giro_observado,evidencia_proceso_humedo,evidencia_mezclilla,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision
3427952,21074812210000031010000000U8,MAQUILA DE LAVANDERIA DE PANTALON,,313310,Acabado de productos textiles,lavado_acabado_textil,INCLUIR_ALTA,RETENER,alta,prioridad_hidrica_original,Proceso húmedo explícito conservado desde la clasificación de giro,0 a 5 personas,"CALLE ZARAGOZA 23, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,ZARAGOZA,CALLE,16 DE SEPTIEMBRE,CALLE,INDUSTRIA,CALLE,MAGNOLIA,23,,,,,,COLONIA,CENTRO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0190,014,2211693368,,,Fijo,2010-07,universo_productivo_amplio_314,19.2108461,-98.37936835,https://www.google.com/maps/search/?api=1&query=CALLE+ZARAGOZA+23+COLONIA+CENTRO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2108461%2C-98.37936835,https://www.openstreetmap.org/?mlat=19.2108461&mlon=-98.3793683#map=19/19.2108461/-98.3793683,PENDIENTE,,,,,,,,,,,
3428321,21074812210000051011000000U6,LAVANDERIA Y TERMINADOS G C,,313310,Acabado de productos textiles,lavado_acabado_textil,INCLUIR_ALTA,RETENER,alta,prioridad_hidrica_original,Proceso húmedo explícito conservado desde la clasificación de giro,6 a 10 personas,"CALLE MAGNOLIA 5, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,MAGNOLIA,CALLE,16 DE SEPTIEMBRE,CALLE,INDUSTRIA,PRIVADA,16 DE SEPTIEMBRE,5,,,,0,A,COLONIA,CENTRO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0190,013,2481631503,TERMINADOS.GC@HOTMAIL.COM,,Fijo,2010-07,universo_productivo_amplio_314,19.21176794,-98.37981608,https://www.google.com/maps/search/?api=1&query=CALLE+MAGNOLIA+5+COLONIA+CENTRO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21176794%2C-98.37981608,https://www.openstreetmap.org/?mlat=19.2117679&mlon=-98.3798161#map=19/19.2117679/-98.3798161,PENDIENTE,,,,,,,,,,,
3428329,21074812210000243010000000U9,POLIPROCESO,LIC DANIEL DAVILA ROMERO,313310,Acabado de productos textiles,lavado_acabado_textil,INCLUIR_ALTA,RETENER,alta,prioridad_hidrica_original,Proceso húmedo explícito conservado desde la clasificación de giro,11 a 30 personas,"CALLE PRIMERO DE MAYO 1, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,PRIMERO DE MAYO,PRIVADA,PRIVADA DE IXTACUIXTLA,CALLE,JUAN PIZACO,CALLE,IXTACUIXTLA NORTE,1,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0190,038,2272769418,POLIPROCESO@HOTMAIL.COM,,Fijo,2010-07,universo_productivo_amplio_314,19.21009567,-98.37624609,https://www.google.com/maps/search/?api=1&query=CALLE+PRIMERO+DE+MAYO+1+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21009567%2C-98.37624609,https://www.openstreetmap.org/?mlat=19.2100957&mlon=-98.3762461#map=19/19.2100957/-98.3762461,PENDIENTE,,,,,,,,,,,
6861846,21074812210000364001000000U3,STONE LAV,STONE LAV,812210,Lavander�as y tintorer�as,lavado_acabado_textil,INCLUIR_ALTA,RETENER,alta,prioridad_hidrica_original,Proceso húmedo explícito conservado desde la clasificación de giro,51 a 100 personas,"CALLE SAUCE 5, PUEBLO SANTA ANA XAMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,SAUCE,CALLE,CIPR�S,CALLE,AHUEHUETES,CALLE,NINGUNO,5,,,,,,PUEBLO,SANTA ANA XAMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0203,033,,SEC.CONTABILIDAD@HOTMAIL.COM,,Fijo,2019-04,universo_productivo_amplio_314,19.21707716,-98.37347932,https://www.google.com/maps/search/?api=1&query=CALLE+SAUCE+5+PUEBLO+SANTA+ANA+XAMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21707716%2C-98.37347932,https://www.openstreetmap.org/?mlat=19.2170772&mlon=-98.3734793#map=19/19.2170772/-98.3734793,PENDIENTE,,,,,,,,,,,
10262715,21074313310000111000000000U0,IMPRESOS EN SERVILLETAS PARA RECUERDO,,313310,Acabado de productos textiles,lavado_acabado_textil,INCLUIR_ALTA,RETENER,alta,prioridad_hidrica_original,Proceso húmedo explícito conservado desde la clasificación de giro,0 a 5 personas,"CALLE MAGNOLIA 4, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,MAGNOLIA,CALLE,INDUSTRIA,CALLE,PROVIDENCIA,CALLE,DONATO GUERRA,4,,,,,,COLONIA,CENTRO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0190,002,2484922581,,,Fijo,2024-11,universo_productivo_amplio_314,19.21216914,-98.38222036,https://www.google.com/maps/search/?api=1&query=CALLE+MAGNOLIA+4+COLONIA+CENTRO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21216914%2C-98.38222036,https://www.openstreetmap.org/?mlat=19.2121691&mlon=-98.3822204#map=19/19.2121691/-98.3822204,PENDIENTE,,,,,,,,,,,
10451408,21074812210000861000000000U8,STONE LAV,STON LAV,812210,Lavander�as y tintorer�as,lavado_acabado_textil,INCLUIR_ALTA,RETENER,alta,prioridad_hidrica_original,Proceso húmedo explícito conservado desde la clasificación de giro,0 a 5 personas,"CALLE SAUCE 6, COLONIA GUADALUPE, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,SAUCE,CALLE,CIPRES,CALLE,AHUEHUETES,CALLE,MELCHOR OCAMPO,6,,,,,,COLONIA,GUADALUPE,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0203,053,,ADMINISTRACION1@STONELAV.COM,,Fijo,2024-11,universo_productivo_amplio_314,19.21703648,-98.37353551,https://www.google.com/maps/search/?api=1&query=CALLE+SAUCE+6+COLONIA+GUADALUPE+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21703648%2C-98.37353551,https://www.openstreetmap.org/?mlat=19.2170365&mlon=-98.3735355#map=19/19.2170365/-98.3735355,PENDIENTE,,,,,,,,,,,
3427228,21074812210000141000000000U5,TINTORERIA LIZ,,812210,Lavander�as y tintorer�as,lavado_acabado_textil,INCLUIR_ALTA,EXCLUIR_ALCANCE,excluir,excluir_tintoreria_comercial,Servicio comercial de tintorería sobre prendas terminadas; fuera del foco productivo y de procesamiento de mezclilla,0 a 5 personas,"CALLE PORFIRIO DIAZ 30, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,PORFIRIO DIAZ,CALLE,PALMA,CALLE,VENUSTIANO CARRANZA,CALLE,IXTACUIXTLA SUR,30,,,,,,COLONIA,CENTRO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0025,002,,,,Fijo,2010-07,universo_productivo_amplio_314,19.20766002,-98.38274798,https://www.google.com/maps/search/?api=1&query=CALLE+PORFIRIO+DIAZ+30+COLONIA+CENTRO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20766002%2C-98.38274798,https://www.openstreetmap.org/?mlat=19.2076600&mlon=-98.3827480#map=19/19.2076600/-98.3827480,PENDIENTE,,,,,,,,,,,
3427244,21074812210000131000000000U6,TINTORERIA LIZ,,812210,Lavander�as y tintorer�as,lavado_acabado_textil,INCLUIR_ALTA,EXCLUIR_ALCANCE,excluir,excluir_tintoreria_comercial,Servicio comercial de tintorería sobre prendas terminadas; fuera del foco productivo y de procesamiento de mezclilla,0 a 5 personas,"CALLE VENUSTIANO CARRANZA 12, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,VENUSTIANO CARRANZA,PRIVADA,NINGUNO,CALLE,NINGUNO,CALLE,SAN MANUEL,12,,,,,,COLONIA,CENTRO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0025,016,,,,Fijo,2010-07,universo_productivo_amplio_314,19.20685794,-98.38143472,https://www.google.com/maps/search/?api=1&query=CALLE+VENUSTIANO+CARRANZA+12+COLONIA+CENTRO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20685794%2C-98.38143472,https://www.openstreetmap.org/?mlat=19.2068579&mlon=-98.3814347#map=19/19.2068579/-98.3814347,PENDIENTE,,,,,,,,,,,
3326075,21074315229001442001000000U8,TALLER DE COSTURA DE PANTALON SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,produccion_textil,INCLUIR_MEDIA,RETENER,media,conservar_universo_productivo,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,0 a 5 personas,"CALLE PRIMAVERA 22, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,PRIMAVERA,CALLE,MELCHOR OCAMPO,CALLE,RIO XOCHIAC,CALLE,REAL DE LA POSTA,22,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0203,007,2271094840,,,Fijo,2014-12,universo_productivo_amplio_314,19.2146852,-98.37524051,https://www.google.com/maps/search/?api=1&query=CALLE+PRIMAVERA+22+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2146852%2C-98.37524051,https://www.openstreetmap.org/?mlat=19.2146852&mlon=-98.3752405#map=19/19.2146852/-98.3752405,PENDIENTE,,,,,,,,,,,
3326083,21074315229001261000000000U2,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,maquila_textil,INCLUIR_MEDIA,RETENER,media,conservar_universo_productivo,Actividad perteneciente al universo productivo amplio sin señal húmeda prioritaria,0 a 5 personas,"CALLE RIO XOCHIAC 1, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,CALLE,REAL DE LA POSTA,CALLE,MELCHOR OCAMPO,1,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,0203,007,,,,Fijo,2014-12,universo_productivo_amplio_314,19.2142724,-98.37712002,https://www.google.com/maps/search/?api=1&query=CALLE+RIO+XOCHIAC+1+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2142724%2C-98.37712002,https://www.openstreetmap.org/?mlat=19.2142724&mlon=-98.3771200#map=19/19.2142724/-98.3771200,PENDIENTE,,,,,,,,,,,
