id,clee,nombre_de_la_unidad_economica,raz_social,codigo_de_la_clase_actividad_scian,nombre_clase_actividad_scian,categoria_clasificacion,decision_clasificacion,per_ocu,direccion_completa_denue,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,cod_postal,localidad,municipio,entidad,ageb,manzana,telefono,correoelec,www,tipounieco,fecha_alta,universo_revision,latitud_revision,longitud_revision,url_busqueda_google_maps,url_punto_google_maps,url_openstreetmap,estado_revision_manual,establecimiento_encontrado,nombre_encontrado,giro_observado,evidencia_proceso_humedo,evidencia_mezclilla,decision_manual,confianza_revision,fuentes_consultadas,fecha_revision,revisor,notas_revision,decision_automatica_revision,fuente_inclusion_automatica
11183668,21074812210000251000000000U2,BODEGA DE DESPERDICIO,,812210,Lavander�as y tintorer�as,revisar_contradiccion_scian_texto,REVISAR,0 a 5 personas,"CALLE IXTACUIXTLA NORTE SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,IXTACUIXTLA NORTE,PRIVADA,PRIVADA DE IXTACUIXTLA,PRIVADA,IXTACUIXTLA,CALLE,PRIMERO DE MAYO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,190,38,,,,Fijo,2024-11,revision_fuera_universo_productivo,19.2111932,-98.37746045,https://www.google.com/maps/search/?api=1&query=CALLE+IXTACUIXTLA+NORTE+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2111932%2C-98.37746045,https://www.openstreetmap.org/?mlat=19.2111932&mlon=-98.3774605#map=19/19.2111932/-98.3774605,COMPLETADO,NO,NA,BODEGA,NO,NO,MANTENER_EN_REVISION,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"No se encontró el establecimiento en los enlaces de mapas consultados ni mediante búsqueda directa en Google, por lo que no fue posible verificar su ubicación o existencia con las fuentes disponibles.",MANTENER_EN_REVISION,
11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,,812210,Lavander�as y tintorer�as,revisar_contradiccion_scian_texto,REVISAR,0 a 5 personas,"CALLE PRIMERO DE MAYO SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,PRIMERO DE MAYO,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,PRIVADA,NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,190,25,,,,Fijo,2024-11,revision_fuera_universo_productivo,19.21328834,-98.37489147,https://www.google.com/maps/search/?api=1&query=CALLE+PRIMERO+DE+MAYO+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21328834%2C-98.37489147,https://www.openstreetmap.org/?mlat=19.2132883&mlon=-98.3748915#map=19/19.2132883/-98.3748915,COMPLETADO,AMBIGUO,NA,BODEGA,NO,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se encontró una edificación en Google Maps que podría corresponder al establecimiento; sin embargo, no se identificó nombre, señalización ni información adicional que permita confirmar la coincidencia.",MANTENER_EN_REVISION,
3428283,21074812210000121001000000U7,LAVANDERIA LAVAMEXXAL,,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,6 a 10 personas,"CALLE ZARAGOZA 33, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,ZARAGOZA,CALLE,IXTACUIXTLA NORTE,CALLE,16 DE SEPTIEMBRE,CALLE,IXTACUIXTLA NORTE,33,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,190,20,2221863089,,,Fijo,2010-07,revision_fuera_universo_productivo,19.2112318,-98.3780799,https://www.google.com/maps/search/?api=1&query=CALLE+ZARAGOZA+33+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.2112318%2C-98.3780799,https://www.openstreetmap.org/?mlat=19.2112318&mlon=-98.3780799#map=19/19.2112318/-98.3780799,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se encontró en Google Maps una edificación consistente con las coordenadas registradas, cuyas dimensiones aparentan corresponder a una instalación con capacidad mayor a la de una lavandería comercial convencional; sin embargo, no se encontró información adicional que permita confirmar su actividad.",MANTENER_EN_REVISION,
3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,11 a 30 personas,"CALLE DIVISION DEL NORTE SN, PUEBLO SANTA ANA XALMIMINULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,DIVISION DEL NORTE,PRIVADA,NINGUNO,CALLE,JAZMINES,CALLE,DIVISION DEL NORTE,,SN,,,,,PUEBLO,SANTA ANA XALMIMINULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,203,58,2225090728,,WWW.LAVAPLUS-LAVANDERIAINDUSTRIAL.COM,Fijo,2014-12,revision_fuera_universo_productivo,19.21861458,-98.3819366,https://www.google.com/maps/search/?api=1&query=CALLE+DIVISION+DEL+NORTE+SN+PUEBLO+SANTA+ANA+XALMIMINULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21861458%2C-98.3819366,https://www.openstreetmap.org/?mlat=19.2186146&mlon=-98.3819366#map=19/19.2186146/-98.3819366,COMPLETADO,SI,LAVANDERIA INDUSTRIAL LAVAPLUS,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_ALTA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,En la página web registrada en DENUE se identificó un giro de carácter industrial y se encontró una ubicación consistente con las coordenadas reportadas en el registro. Esta coincidencia entre la información del sitio web y la localización de DENUE aporta evidencia suficiente para respaldar la identificación del establecimiento y su actividad.,MANTENER_EN_REVISION,
3428174,21074812210000172002000000U0,LAVANDERIA ALEX,,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,0 a 5 personas,"CALLE SAN MARTIN 52, PUEBLO SANTA ANA XALMININULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,SAN MARTIN,BOULEVARD,RIO XOCHIAC,CALLEJON,SAN MARTIN,BOULEVARD,RIO XOCHIAC,52,,,,,,PUEBLO,SANTA ANA XALMININULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,190,19,2272712440,,,Fijo,2010-07,revision_fuera_universo_productivo,19.21501731,-98.38544865,https://www.google.com/maps/search/?api=1&query=CALLE+SAN+MARTIN+52+PUEBLO+SANTA+ANA+XALMININULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21501731%2C-98.38544865,https://www.openstreetmap.org/?mlat=19.2150173&mlon=-98.3854487#map=19/19.2150173/-98.3854487,COMPLETADO,AMBIGUO,NA,MAQUILA_TEXTIL,NO,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se localizó en Google Maps, en coordenadas coincidentes con el registro, un inmueble de aproximadamente tres plantas y dimensiones compatibles con una actividad productiva. En el exterior se observa además un anuncio de contratación para puestos asociados aparentemente a procesos de confección/textiles. Aunque no fue posible confirmar que opere específicamente como lavandería, la evidencia visual sugiere un establecimiento relacionado con el giro textil, por lo que se considera pertinente mantenerlo dentro del análisis.",MANTENER_EN_REVISION,
10801837,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,6 a 10 personas,"CALLE REAL DE PUEBLA 81, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,REAL DE PUEBLA,OTRO(ESPECIFIQUE),CULTIVO,CALLE,IXTACUIXTLA SUR,CALLE,NARCISO MENDOZA,81,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,25,25,,,,Fijo,2024-11,revision_fuera_universo_productivo,19.20672151,-98.37428614,https://www.google.com/maps/search/?api=1&query=CALLE+REAL+DE+PUEBLA+81+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20672151%2C-98.37428614,https://www.openstreetmap.org/?mlat=19.2067215&mlon=-98.3742861#map=19/19.2067215/-98.3742861,COMPLETADO,SI,NA,NO_ENCONTRADO,NO,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"No se encontró el establecimiento en los enlaces de mapas consultados ni mediante búsqueda directa en Google, por lo que no fue posible verificar su ubicación o existencia con las fuentes disponibles.",MANTENER_EN_REVISION,
3427993,21074812210000213002000000U2,LAVANDERIA SIN NOMBRE,,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,0 a 5 personas,"CALLE SAN ANTONIO SN, COLONIA SAN ANTONIO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,SAN ANTONIO,CALLE,AQUILES SERDAN SUR,CALLE,CAMINO REAL SAN MATEO,CALLE,MUCIO MARTINEZ,,SN,,,,,COLONIA,SAN ANTONIO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,25,19,,,,Fijo,2010-07,revision_fuera_universo_productivo,19.20916815,-98.386831,https://www.google.com/maps/search/?api=1&query=CALLE+SAN+ANTONIO+SN+COLONIA+SAN+ANTONIO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20916815%2C-98.386831,https://www.openstreetmap.org/?mlat=19.2091681&mlon=-98.3868310#map=19/19.2091681/-98.3868310,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se encontró en Google Maps una edificación consistente con las coordenadas registradas, cuyas dimensiones aparentan corresponder a una instalación con capacidad mayor a la de una lavandería comercial convencional; sin embargo, no se encontró información adicional que permita confirmar su actividad.",MANTENER_EN_REVISION,
11149643,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,JOSE LUIS,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,6 a 10 personas,"OTRO(ESPECIFIQUE) NINGUNO SN, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,25,800,,,,Fijo,2024-11,revision_fuera_universo_productivo,19.20557939,-98.36887278,https://www.google.com/maps/search/?api=1&query=OTRO%28ESPECIFIQUE%29+NINGUNO+SN+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20557939%2C-98.36887278,https://www.openstreetmap.org/?mlat=19.2055794&mlon=-98.3688728#map=19/19.2055794/-98.3688728,COMPLETADO,AMBIGUO,NA,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_MEDIA,MEDIA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"Se localizó la lavandería en Google Maps; sin embargo, Street View no tiene cobertura hasta el inmueble. Por las dimensiones observadas en imagen satelital y su ubicación hacia las afueras de la localidad, se considera posible que corresponda a una operación de lavado a escala industrial, aunque esto no pudo confirmarse visualmente.",MANTENER_EN_REVISION,
10876257,21074812210000751000000000U1,LAVANDERIA MA & MA,,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,0 a 5 personas,"CALLE EL REBOZO 4, LOCALIDAD SANTA ANA XALMIMILULCO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,EL REBOZO,CALLE,VIOLETAS PONIENTE,CALLE,DOMINGO ARENAS,CALLE,PERITAS,4,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,190,17,2271099351,,,Fijo,2024-11,revision_fuera_universo_productivo,19.21136579,-98.38497712,https://www.google.com/maps/search/?api=1&query=CALLE+EL+REBOZO+4+LOCALIDAD+SANTA+ANA+XALMIMILULCO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.21136579%2C-98.38497712,https://www.openstreetmap.org/?mlat=19.2113658&mlon=-98.3849771#map=19/19.2113658/-98.3849771,COMPLETADO,NO,NA,NO_ENCONTRADO,NO,NO,EXCLUIR_NO_ENCONTRADO,ALTA,"GoogleMaps, OpenStreet",17/08/2026,NAB,"No se encontró el establecimiento en los enlaces de mapas consultados ni mediante búsqueda directa en Google, por lo que no fue posible verificar su ubicación o existencia con las fuentes disponibles.",MANTENER_EN_REVISION,
3427213,21074812210000342001000000U9,LAVANDERIA MAGALY,,812210,Lavander�as y tintorer�as,revisar_lavado_generico,REVISAR,0 a 5 personas,"CALLE IXTACUIXTLA SUR SN, COLONIA CENTRO, 74169, Santa Ana Xalmimilulco, Huejotzingo, Puebla",CALLE,IXTACUIXTLA SUR,CALLE,PALMA,CALLE,VENUSTIANO CARRANZA,CALLE,PORFIRIO DIAZ,,SN,,,,,COLONIA,CENTRO,74169,Santa Ana Xalmimilulco,Huejotzingo,Puebla,25,2,,,,Fijo,2010-07,revision_fuera_universo_productivo,19.20645951,-98.37919106,https://www.google.com/maps/search/?api=1&query=CALLE+IXTACUIXTLA+SUR+SN+COLONIA+CENTRO+74169+Santa+Ana+Xalmimilulco+Huejotzingo+Puebla,https://www.google.com/maps/search/?api=1&query=19.20645951%2C-98.37919106,https://www.openstreetmap.org/?mlat=19.2064595&mlon=-98.3791911#map=19/19.2064595/-98.3791911,COMPLETADO,SI,LAVANDERIA INDUSTRIAL MAGALY,LAVANDERIA_INDUSTRIAL,SI,NO,INCLUIR_ALTA,ALTA,"GoogleMaps, OpenStreet, ComerciosMexico",17/08/2026,NAB,"Se localizó el establecimiento en Google Maps, con coincidencia tanto en el nombre como en las coordenadas registradas. Adicionalmente, se encontró evidencia en línea que confirma su relación con el giro textil, por lo que se considera una coincidencia válida y se mantiene dentro del análisis.",MANTENER_EN_REVISION,
