capa,comparacion,registros
01_santa_ana_actual_vs_filtrado_2026,actual_falta_en_filtro2026,1
01_santa_ana_actual_vs_filtrado_2026,coincide_actual_y_filtro2026,37
01_santa_ana_actual_vs_filtrado_2026,nuevo_filtro2026_santa_ana,5
02_santa_ana_actual_vs_denue2026_base,actual_falta_en_denue2026_base,1
02_santa_ana_actual_vs_denue2026_base,coincide_actual_y_denue2026_base,37
03_santa_ana_actual_vs_mh2_base,actual_falta_en_mh2_base,1
03_santa_ana_actual_vs_mh2_base,coincide_actual_y_mh2_base,37
04_santa_ana_actual_vs_mh_filtrado,actual_coincide_id_mh_filtrado,7
04_santa_ana_actual_vs_mh_filtrado,actual_falta_en_mh_filtrado,31
04_santa_ana_actual_vs_mh_filtrado,mh_filtrado_coincide_id_actual,7
04_santa_ana_actual_vs_mh_filtrado,mh_filtrado_con_id_no_en_actual,36
04_santa_ana_actual_vs_mh_filtrado,mh_filtrado_sin_id,6
05_mh_filtrado_mismos_ids_desplazados,punto_actual_mismo_id,7
05_mh_filtrado_mismos_ids_desplazados,punto_mh_mismo_id_desplazado,7
06_mayra_vs_denue2026_vecino_cercano,mayra_nombre_exactoy_cerca,7
06_mayra_vs_denue2026_vecino_cercano,mayra_revisar_nombre_o_distancia,42
