keyword_id,term,groups,process_stage,universe,evidence_level,classification_role,notes,term_normalized
kw001,textil,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Senal general de actividad textil,textil
kw002,textilera,candidate_textile|textile_explicit|industrial,manufactura_textil,principal,alta,inclusion,Unidad descrita como industria textil,textilera
kw003,tela,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Material textil explicito,tela
kw004,telas,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Material textil explicito,telas
kw005,tejido,candidate_textile|textile_explicit|material|production,tejido,principal,alta,inclusion,Proceso de formacion de tela,tejido
kw006,tejeduria,candidate_textile|textile_explicit|material|production,tejido,principal,alta,inclusion,Proceso de formacion de tela,tejeduria
kw007,telar,candidate_textile|textile_explicit|material|production,tejido,principal,media,inclusion,Equipo o proceso de tejido,telar
kw008,hilado,candidate_textile|textile_explicit|material|production,hilatura,principal,alta,inclusion,Produccion de hilo,hilado
kw009,hilatura,candidate_textile|textile_explicit|material|production,hilatura,principal,alta,inclusion,Produccion de hilo,hilatura
kw010,hilo,candidate_textile|textile_explicit|material,material_textil,contexto,baja,alerta,Material textil que requiere contexto productivo,hilo
kw011,fibra textil,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Materia prima textil,fibra textil
kw012,pasamaneria,candidate_textile|textile_explicit|material,material_textil,principal,media,inclusion,Produccion de articulos textiles,pasamaneria
kw013,mezclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Material prioritario para deslavado,mezclilla
kw014,mesclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Variante ortografica de mezclilla,mesclilla
kw015,denim,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Material prioritario para deslavado,denim
kw016,jean,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Prenda o material de mezclilla,jean
kw017,jeans,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Prenda o material de mezclilla,jeans
kw018,pantalon de mezclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Producto de mezclilla explicito,pantalon de mezclilla
kw019,pantalones de mezclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Producto de mezclilla explicito,pantalones de mezclilla
kw020,prendas de mezclilla,candidate_textile|textile_explicit|denim,mezclilla_jeans,principal,alta,inclusion,Producto de mezclilla explicito,prendas de mezclilla
kw021,transformacion de mezclilla,candidate_textile|textile_explicit|denim|production,mezclilla_jeans,principal,alta,inclusion,Proceso productivo de mezclilla,transformacion de mezclilla
kw022,deshebrado,candidate_textile|textile_explicit|denim|production,mezclilla_jeans,principal,alta,inclusion,Acabado asociado con mezclilla,deshebrado
kw023,desebrado,candidate_textile|textile_explicit|denim|production,mezclilla_jeans,principal,alta,inclusion,Variante ortografica de deshebrado,desebrado
kw024,fosil,candidate_textile|denim,mezclilla_jeans,revisar,media,alerta,Nombre local observado asociado con mezclilla,fosil
kw025,lavado,candidate_textile|wash_generic,lavado,revisar,baja,alerta,Lavado generico requiere contexto textil,lavado
kw026,lavado industrial,candidate_textile|wash_generic|wet_specific|industrial,lavado_industrial,principal,alta,inclusion,Lavado con escala industrial explicita,lavado industrial
kw027,lavado textil,candidate_textile|wash_generic|wet_specific,lavado_textil,principal,alta,inclusion,Lavado con objeto textil explicito,lavado textil
kw028,lavado de prendas,candidate_textile|wash_generic|wet_specific,lavado_textil,principal,alta,inclusion,Lavado con objeto textil explicito,lavado de prendas
kw029,lavado de ropa,candidate_textile|wash_generic|wet_specific,lavado_textil,principal,alta,inclusion,Lavado con objeto textil explicito,lavado de ropa
kw030,lavado de mezclilla,candidate_textile|wash_generic|wet_specific|denim,deslavado_mezclilla,principal,alta,inclusion,Lavado de mezclilla explicito,lavado de mezclilla
kw031,lavado de jeans,candidate_textile|wash_generic|wet_specific|denim,deslavado_mezclilla,principal,alta,inclusion,Lavado de jeans explicito,lavado de jeans
kw032,deslavado,candidate_textile|wash_generic|wet_specific,deslavado,principal,alta,inclusion,Proceso humedo textil prioritario,deslavado
kw033,deslave,candidate_textile|wash_generic|wet_specific,deslavado,principal,alta,inclusion,Variante de deslavado,deslave
kw034,prelavado,candidate_textile|wash_generic|wet_specific,prelavado,principal,alta,inclusion,Proceso humedo previo,prelavado
kw035,enjuague,candidate_textile|wash_generic|wet_specific,enjuague,revisar,media,alerta,Proceso humedo que requiere contexto textil,enjuague
kw036,stone wash,candidate_textile|wash_generic|wet_specific|denim,deslavado_mezclilla,principal,alta,inclusion,Acabado de mezclilla explicito,stone wash
kw037,stonewashed,candidate_textile|wash_generic|wet_specific|denim,deslavado_mezclilla,principal,alta,inclusion,Acabado de mezclilla explicito,stonewashed
kw038,stone lav,candidate_textile|wash_generic|wet_specific|denim,deslavado_mezclilla,principal,alta,inclusion,Variante observada de stone wash,stone lav
