legacy_id,legacy_clee,legacy_nombre_de_la_unidad_economica,legacy_raz_social,legacy_codigo_de_la_clase_actividad_scian,legacy_nombre_clase_actividad_scian,legacy_per_ocu,legacy_tipo_vial,legacy_nom_vial,legacy_tipo_v_e_1,legacy_nom_v_e_1,legacy_tipo_v_e_2,legacy_nom_v_e_2,legacy_tipo_v_e_3,legacy_nom_v_e_3,legacy_numero_ext,legacy_letra_ext,legacy_edificio,legacy_edificio_e,legacy_numero_int,legacy_letra_int,legacy_tipo_asent,legacy_nomb_asent,legacy_tipocencom,legacy_nom_cencom,legacy_num_local,legacy_cod_postal,legacy_cve_ent,legacy_entidad,legacy_cve_mun,legacy_municipio,legacy_cve_loc,legacy_localidad,legacy_ageb,legacy_manzana,legacy_telefono,legacy_correoelec,legacy_www,legacy_tipounieco,legacy_latitud,legacy_longitud,legacy_fecha_alta,legacy_localidad_id_analisis,legacy_localidad_analisis,legacy_poligono_id_analisis,legacy_metodo_recorte,legacy_criterio_recorte,legacy_texto_normalizado,legacy_codigo_scian_normalizado,legacy_keywords_detectadas,legacy_terminos_detectados,legacy_grupos_detectados,legacy_codigos_regla_detectados,legacy_evidencias_detectadas,legacy_reglas_activadas,legacy_regla_decisiva,legacy_categoria_clasificacion,legacy_decision_clasificacion,legacy_relevancia_ambiental,legacy_explicacion_decision,legacy_exclusion_fuerte,legacy_exclusion_condicional,legacy_exclusion_condicional_superada,legacy_version_filtro,legacy__id_key,legacy_fuente_inclusion_hidrica,legacy_decision_hidrica_preliminar,legacy_dictamen_manual_origen,legacy_en_mh,id_comparacion,actual_d_llave,actual_clee,actual_nom_est,actual_raz_soc,actual_cve_scian,actual_desc_scian,actual_Descripcion estrato personal ocupado,actual_Tipo de vialidad,actual_Nombre de la vialidad,actual_Tipo de entre vialidad 1,actual_Nombre de entre vialidad 1,actual_Tipo de entre vialidad 2,actual_Nombre de entre vialidad 2,actual_Tipo de entre vialidad 3,actual_Nombre de entre vialidad 3,actual_Numero exterior o kilometro,actual_Letra exterior,actual_Edificio,actual_Edificio Piso,actual_Numero interior,actual_Letra interior,actual_Tipo de asentamiento humano,actual_Nombre de asentamiento humano,actual_Tipo centro comercial,"actual_Corredor industrial, centro comercial o mercado publico",actual_Numero de local,actual_Codigo Postal,actual_Clave entidad,actual_Entidad federativa,actual_Clave municipio,actual_Municipio,actual_cve_loc,actual_localidad,actual_Area geoestadistica basica,actual_Manzana,actual_Numero de telefono,actual_Correo electronico,actual_Sitio en Internet,actual_Tipo de establecimiento,actual_Latitud,actual_Longitud,actual_Fecha de incorporacion al DENUE,actual_coincide_filtro_scian,actual_coincide_filtro_texto,actual_textil,actual_mezclilla,actual_humedo_explicito,actual_lavado_generico,actual_produccion,actual_maquila,actual_proceso_seco_explicito,actual_scian_textil,actual_scian_acabado_humedo,actual_scian_lavanderia,actual_sector_textil,actual_evidencia_hidrica,resultado_comparacion
10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,SAN ISIDRO,CALLE,IXTACUIXTLA SUR,CALLE,PORFIRIO DIAZ,CALLE,ADOLFO LOPEZ MATEOS,28,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0167,006,2271136906,,,Fijo,19.20441257,-98.38004211,2024-11,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,maquila de pantalon de mezclilla sin nombre | | confecci�n en serie de otra ropa exterior de materiales textiles,315229,kw013|kw018|kw072|kw100|kw101,mezclilla|pantalon de mezclilla|maquila|ropa|pantalon,candidate_textile|denim|maquila|textile_explicit,315,SCIAN:315:textile_manufacturing|kw013:mezclilla|kw018:pantalon de mezclilla|kw072:maquila|kw100:ropa|kw101:pantalon,base_saic_textil|base_texto_textil|inc_mezclilla_texto,base_texto_textil,maquila_textil,INCLUIR_MEDIA,media,INCLUIR_MEDIA: Maquila combinada con evidencia textil; regla decisiva base_texto_textil; 1 coincidencias SCIAN y 5 coincidencias textuales.,False,False,False,v1,10099363,MAQUILA_MEZCLILLA_AUTOMATICA,INCLUIR_PRELIMINAR,,False,10099363,10099363,21074315223001011000000000U4,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,SAN ISIDRO,CALLE,IXTACUIXTLA SUR,CALLE,PORFIRIO DIAZ,CALLE,ADOLFO LOPEZ MATEOS,28,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0167,006,2271136906,,,Fijo,19.20441257,-98.38004211,2024-11,True,True,True,True,False,False,True,True,True,True,False,False,INCLUIR,REVISAR,AMBOS
10801837,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,,812210,Lavander�as y tintorer�as,6 a 10 personas,CALLE,REAL DE PUEBLA,OTRO(ESPECIFIQUE),CULTIVO,CALLE,IXTACUIXTLA SUR,CALLE,NARCISO MENDOZA,81,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,025,,,,Fijo,19.20672151,-98.37428614,2024-11,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,lavanderia sin nombre | | lavander�as y tintorer�as,812210,kw042,lavanderia,candidate_textile|wash_generic,8122|812210,SCIAN:8122:textile_service|SCIAN:812210:wet_service_possible|kw042:lavanderia,base_servicio_textil|base_texto_textil,base_servicio_textil,revisar_lavado_generico,REVISAR,revisar,REVISAR: Lavado o servicio genérico sin contexto suficiente; regla decisiva base_servicio_textil; 2 coincidencias SCIAN y 1 coincidencias textuales.,False,False,False,v1,10801837,AUDITORIA_MANUAL_20,INCLUIR_PRELIMINAR,INCLUIR_MEDIA,False,10801837,10801837,21074812210000772000000000U7,LAVANDERIA SIN NOMBRE,,812210,Lavanderías y tintorerías,6 a 10 personas,CALLE,REAL DE PUEBLA,OTRO(ESPECIFIQUE),CULTIVO,CALLE,IXTACUIXTLA SUR,CALLE,NARCISO MENDOZA,81,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,025,,,,Fijo,19.20672151,-98.37428614,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,,812210,Lavander�as y tintorer�as,0 a 5 personas,CALLE,PRIMERO DE MAYO,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,PRIVADA,NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,025,,,,Fijo,19.21328834,-98.37489146999998,2024-11,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,bodega sin nombre | | lavander�as y tintorer�as,812210,kw181,bodega,excluded_name,8122|812210,SCIAN:8122:textile_service|SCIAN:812210:wet_service_possible|kw181:bodega,base_servicio_textil|exc_comercio_o_giro_no_textil,rev_contradiccion_scian_texto,revisar_contradiccion_scian_texto,REVISAR,revisar,REVISAR: SCIAN de lavandería contradicho por bodega o desperdicio; requiere revisión humana; regla decisiva rev_contradiccion_scian_texto; 2 coincidencias SCIAN y 1 coincidencias textuales.,False,True,False,v1,11081907,AUDITORIA_MANUAL_20,INCLUIR_PRELIMINAR,INCLUIR_MEDIA,False,11081907,11081907,21074812210000921000000000U0,BODEGA SIN NOMBRE,,812210,Lavanderías y tintorerías,0 a 5 personas,CALLE,PRIMERO DE MAYO,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,PRIVADA,NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0190,025,,,,Fijo,19.21328834,-98.37489147,2024-11,True,False,False,False,False,False,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
11149643,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,JOSE LUIS,812210,Lavander�as y tintorer�as,6 a 10 personas,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,800,,,,Fijo,19.20557939,-98.36887278,2024-11,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,lavanderia los solares | jose luis | lavander�as y tintorer�as,812210,kw042,lavanderia,candidate_textile|wash_generic,8122|812210,SCIAN:8122:textile_service|SCIAN:812210:wet_service_possible|kw042:lavanderia,base_servicio_textil|base_texto_textil,base_servicio_textil,revisar_lavado_generico,REVISAR,revisar,REVISAR: Lavado o servicio genérico sin contexto suficiente; regla decisiva base_servicio_textil; 2 coincidencias SCIAN y 1 coincidencias textuales.,False,False,False,v1,11149643,AUDITORIA_MANUAL_20,INCLUIR_PRELIMINAR,INCLUIR_MEDIA,False,11149643,11149643,21074812210000672000000000U9,LAVANDERIA LOS SOLARES,JOSE LUIS,812210,Lavanderías y tintorerías,6 a 10 personas,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,OTRO(ESPECIFIQUE),NINGUNO,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,800,,,,Fijo,19.20557939,-98.36887278,2024-11,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
11173772,21074315229002821000000000U2,TALLER DE PANTALLA DE MEZCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,DONATO GUERRA,CALLE,INDUSTRIA,CALLE,PROVIDENCIA,CALLE,MAGNOLIA,,SN,,,,,COLONIA,CENTRO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,002,2272230899,,,Fijo,19.21173695,-98.38154658,2024-11,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,taller de pantalla de mezclilla | | confecci�n en serie de otra ropa exterior de materiales textiles,315229,kw013|kw100,mezclilla|ropa,candidate_textile|denim|textile_explicit,315,SCIAN:315:textile_manufacturing|kw013:mezclilla|kw100:ropa,base_saic_textil|base_texto_textil|inc_mezclilla_texto,inc_mezclilla_texto,produccion_textil,INCLUIR_MEDIA,media,INCLUIR_MEDIA: Evidencia explícita de mezclilla o jeans; regla decisiva inc_mezclilla_texto; 1 coincidencias SCIAN y 2 coincidencias textuales.,False,False,False,v1,11173772,PRODUCCION_MEZCLILLA_AUTOMATICA,INCLUIR_PRELIMINAR,,True,11173772,11173772,21074315229002821000000000U2,TALLER DE PANTALLA DE MEZCLILLA,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,DONATO GUERRA,CALLE,INDUSTRIA,CALLE,PROVIDENCIA,CALLE,MAGNOLIA,,SN,,,,,COLONIA,CENTRO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0190,002,2272230899,,,Fijo,19.21173695,-98.38154658,2024-11,True,True,True,True,False,False,True,True,True,True,False,False,INCLUIR,REVISAR,AMBOS
3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,,812210,Lavander�as y tintorer�as,11 a 30 personas,CALLE,DIVISION DEL NORTE,PRIVADA,NINGUNO,CALLE,JAZMINES,CALLE,DIVISION DEL NORTE,,SN,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0203,058,2225090728,,WWW.LAVAPLUS-LAVANDERIAINDUSTRIAL.COM,Fijo,19.21861458,-98.3819366,2014-12,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,lavanderia lavaplus | | lavander�as y tintorer�as,812210,kw042,lavanderia,candidate_textile|wash_generic,8122|812210,SCIAN:8122:textile_service|SCIAN:812210:wet_service_possible|kw042:lavanderia,base_servicio_textil|base_texto_textil,base_servicio_textil,revisar_lavado_generico,REVISAR,revisar,REVISAR: Lavado o servicio genérico sin contexto suficiente; regla decisiva base_servicio_textil; 2 coincidencias SCIAN y 1 coincidencias textuales.,False,False,False,v1,3326066,AUDITORIA_MANUAL_20,INCLUIR_PRELIMINAR,INCLUIR_ALTA,False,3326066,3326066,21074812210000262001000000U9,LAVANDERIA LAVAPLUS,,812210,Lavanderías y tintorerías,11 a 30 personas,CALLE,DIVISION DEL NORTE,PRIVADA,NINGUNO,CALLE,JAZMINES,CALLE,DIVISION DEL NORTE,,SN,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0203,058,2225090728,,WWW.LAVAPLUS-LAVANDERIAINDUSTRIAL.COM,Fijo,19.21861458,-98.3819366,2014-12,True,True,False,False,False,True,False,False,False,False,False,True,REVISAR,REVISAR,AMBOS
3326083,21074315229001261000000000U2,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,CALLE,REAL DE LA POSTA,CALLE,MELCHOR OCAMPO,1,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0203,007,,,,Fijo,19.2142724,-98.37712002,2014-12,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,maquila de pantalon de mesclilla | | confecci�n en serie de otra ropa exterior de materiales textiles,315229,kw014|kw072|kw100|kw101,mesclilla|maquila|ropa|pantalon,candidate_textile|denim|maquila|textile_explicit,315,SCIAN:315:textile_manufacturing|kw014:mesclilla|kw072:maquila|kw100:ropa|kw101:pantalon,base_saic_textil|base_texto_textil|inc_mezclilla_texto,base_texto_textil,maquila_textil,INCLUIR_MEDIA,media,INCLUIR_MEDIA: Maquila combinada con evidencia textil; regla decisiva base_texto_textil; 1 coincidencias SCIAN y 4 coincidencias textuales.,False,False,False,v1,3326083,MAQUILA_MEZCLILLA_AUTOMATICA,INCLUIR_PRELIMINAR,,False,3326083,3326083,21074315229001261000000000U2,MAQUILA DE PANTALON DE MESCLILLA,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,RIO XOCHIAC,PRIVADA,NINGUNO,CALLE,REAL DE LA POSTA,CALLE,MELCHOR OCAMPO,1,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0203,007,,,,Fijo,19.2142724,-98.37712002,2014-12,True,True,True,True,False,False,True,True,True,True,False,False,INCLUIR,REVISAR,AMBOS
3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,REFORMA,CALLE,VIOLETAS PONIENTE,CALLE,MORELOS,CALLE,MELCHOR OCAMPO,15,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0190,009,2227054744,JOSEROBERTO.JUAREZC@GMAIL.COM,,Fijo,19.21180747,-98.38308957,2014-12,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,maquila de pantalon fosil jeans | | confecci�n en serie de otra ropa exterior de materiales textiles,315229,kw017|kw024|kw072|kw100|kw101,jeans|fosil|maquila|ropa|pantalon,candidate_textile|denim|maquila|textile_explicit,315,SCIAN:315:textile_manufacturing|kw017:jeans|kw024:fosil|kw072:maquila|kw100:ropa|kw101:pantalon,base_saic_textil|base_texto_textil|inc_mezclilla_texto,base_texto_textil,maquila_textil,INCLUIR_MEDIA,media,INCLUIR_MEDIA: Maquila combinada con evidencia textil; regla decisiva base_texto_textil; 1 coincidencias SCIAN y 5 coincidencias textuales.,False,False,False,v1,3326137,MAQUILA_MEZCLILLA_AUTOMATICA,INCLUIR_PRELIMINAR,,False,3326137,3326137,21074315229001301002000000U6,MAQUILA DE PANTALON FOSIL JEANS,,315229,Confección en serie de otra ropa exterior de materiales textiles,6 a 10 personas,CALLE,REFORMA,CALLE,VIOLETAS PONIENTE,CALLE,MORELOS,CALLE,MELCHOR OCAMPO,15,,,,,,PUEBLO,SANTA ANA XALMIMINULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0190,009,2227054744,JOSEROBERTO.JUAREZC@GMAIL.COM,,Fijo,19.21180747,-98.38308957,2014-12,True,True,True,True,False,False,True,True,True,True,False,False,INCLUIR,REVISAR,AMBOS
3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,6 a 10 personas,PRIVADA,NINGUNO,CALLE,NARCISO MENDOZA,OTRO(ESPECIFIQUE),CULTIVO,PRIVADA,NINGUNO,17,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,068,,,,Fijo,19.20577329,-98.37807708,2014-12,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,maquila de pantalon de mezclilla sin nombre | | confecci�n en serie de otra ropa exterior de materiales textiles,315229,kw013|kw018|kw072|kw100|kw101,mezclilla|pantalon de mezclilla|maquila|ropa|pantalon,candidate_textile|denim|maquila|textile_explicit,315,SCIAN:315:textile_manufacturing|kw013:mezclilla|kw018:pantalon de mezclilla|kw072:maquila|kw100:ropa|kw101:pantalon,base_saic_textil|base_texto_textil|inc_mezclilla_texto,base_texto_textil,maquila_textil,INCLUIR_MEDIA,media,INCLUIR_MEDIA: Maquila combinada con evidencia textil; regla decisiva base_texto_textil; 1 coincidencias SCIAN y 5 coincidencias textuales.,False,False,False,v1,3326339,MAQUILA_MEZCLILLA_AUTOMATICA,INCLUIR_PRELIMINAR,,True,3326339,3326339,21074315229001291001000000U9,MAQUILA DE PANTALON DE MEZCLILLA SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,6 a 10 personas,PRIVADA,NINGUNO,CALLE,NARCISO MENDOZA,OTRO(ESPECIFIQUE),CULTIVO,PRIVADA,NINGUNO,17,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,068,,,,Fijo,19.20577329,-98.37807708,2014-12,True,True,True,True,False,False,True,True,True,True,False,False,INCLUIR,REVISAR,AMBOS
3326348,21074315229001403002000000U0,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,,315229,Confecci�n en serie de otra ropa exterior de materiales textiles,11 a 30 personas,CALLE,NINGUNO,CALLE,VENUSTIANO CARRANZA,CALLE,SAN MANUEL,CALLE,IXTACUIXTLA SUR,15,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,Puebla,074,Huejotzingo,0029,Santa Ana Xalmimilulco,0025,056,2481462395,,,Fijo,19.20615378,-98.38106673,2014-12,santa_ana_xalmimilulco,Santa Ana Xalmimilulco,210740029,atributo,cve_loc=0029,taller de maquila de pantalon de mezclilla | | confecci�n en serie de otra ropa exterior de materiales textiles,315229,kw013|kw018|kw072|kw100|kw101,mezclilla|pantalon de mezclilla|maquila|ropa|pantalon,candidate_textile|denim|maquila|textile_explicit,315,SCIAN:315:textile_manufacturing|kw013:mezclilla|kw018:pantalon de mezclilla|kw072:maquila|kw100:ropa|kw101:pantalon,base_saic_textil|base_texto_textil|inc_mezclilla_texto,base_texto_textil,maquila_textil,INCLUIR_MEDIA,media,INCLUIR_MEDIA: Maquila combinada con evidencia textil; regla decisiva base_texto_textil; 1 coincidencias SCIAN y 5 coincidencias textuales.,False,False,False,v1,3326348,MAQUILA_MEZCLILLA_AUTOMATICA,INCLUIR_PRELIMINAR,,False,3326348,3326348,21074315229001403002000000U0,TALLER DE MAQUILA DE PANTALON DE MEZCLILLA,,315229,Confección en serie de otra ropa exterior de materiales textiles,11 a 30 personas,CALLE,NINGUNO,CALLE,VENUSTIANO CARRANZA,CALLE,SAN MANUEL,CALLE,IXTACUIXTLA SUR,15,,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,074,Huejotzingo,0029,Santa Ana Xalmimilulco                                                                                        ,0025,056,2481462395,,,Fijo,19.20615378,-98.38106673,2014-12,True,True,True,True,False,False,True,True,True,True,False,False,INCLUIR,REVISAR,AMBOS
