d_llave,clee,nom_est,raz_soc,cve_scian,desc_scian,Descripcion estrato personal ocupado,Tipo de vialidad,Nombre de la vialidad,Tipo de entre vialidad 1,Nombre de entre vialidad 1,Tipo de entre vialidad 2,Nombre de entre vialidad 2,Tipo de entre vialidad 3,Nombre de entre vialidad 3,Numero exterior o kilometro,Letra exterior,Edificio,Edificio Piso,Numero interior,Letra interior,Tipo de asentamiento humano,Nombre de asentamiento humano,Tipo centro comercial,"Corredor industrial, centro comercial o mercado publico",Numero de local,Codigo Postal,Clave entidad,Entidad federativa,Clave municipio,Municipio,cve_loc,localidad,Area geoestadistica basica,Manzana,Numero de telefono,Correo electronico,Sitio en Internet,Tipo de establecimiento,Latitud,Longitud,Fecha de incorporacion al DENUE,coincide_filtro_scian,coincide_filtro_texto,textil,mezclilla,humedo_explicito,lavado_generico,produccion,maquila,proceso_seco_explicito,scian_textil,scian_acabado_humedo,scian_lavanderia,sector_textil,evidencia_hidrica,dentro_cuenca,scian_3,scian_4,scian_6,actividad_lavanderia_tintoreria,actividad_acabado_textil,actividad_confeccion,actividad_fabricacion_telas,actividad_tejido_hilado,actividad_bordado_deshilado,senal_pantalon,senal_mezclilla_o_pantalon,universo_conceptual,cluster,probabilidad,persistencia_territorial,tipo_resultado_espacial,grupo_espacial
11573367,21074315223000071000000000U9,TALLER DE DESHEBRADO DE PANTALON SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,PROLONGACION,RAFAEL SERRANO,CALLE,AQUILES SERDAN SUR,CALLE,SAN MIGUEL,CALLE,SAN ANTONIO,3.0,,,,,,COLONIA,SAN ANTONIO,,,,74169,21,PUEBLA,74,Huejotzingo,29,Santa Ana Xalmimilulco,0025,29,2481987725.0,,,Fijo,19.20820945,-98.38672241,2024-11,True,True,True,True,False,False,True,False,True,True,False,False,INCLUIR,REVISAR,True,315,3152,315229,False,False,True,False,False,True,True,True,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",8,0.8968755759004836,1.0,CONCENTRACION,CLUSTER_008
9605960,21074315229002531000000000U7,TALLER DE DESHEBRADO SIN NOMBRE,,315229,Confección en serie de otra ropa exterior de materiales textiles,0 a 5 personas,CALLE,FLORES MAGON,CALLE,PORFIRIO DIAZ,CALLE,EL VOLCAN,CALLE,MUCIO MARTINEZ,13.0,,,,,,COLONIA,CENTRO,,,,74169,21,PUEBLA,74,Huejotzingo,29,Santa Ana Xalmimilulco,0025,1,2221477763.0,,,Fijo,19.20806014,-98.3839219,2024-11,True,True,True,True,False,False,True,False,True,True,False,False,INCLUIR,REVISAR,True,315,3152,315229,False,False,True,False,False,True,False,True,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",8,0.7714279835376502,1.0,CONCENTRACION,CLUSTER_008
3418443,21048314992000011000000000U0,TALLER DE ELABORACION DE CORDON,,314992,Fabricación de redes y otros productos de cordelería,0 a 5 personas,CALLE,AQUILES SERDAN,AVENIDA,FRANCISCO I. MADERO,OTRO(ESPECIFIQUE),NINGUNO,PRIVADA,ZEINOS,24.0,,,,,,LOCALIDAD,SAN LORENZO CHIAUTZINGO,,,,74150,21,PUEBLA,48,Chiautzingo,1,San Lorenzo Chiautzingo,0133,2,,TERE.1725@LIVE.COM.MX,,Fijo,19.20191871,-98.45579287,2010-07,True,True,False,False,False,False,True,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,314,3149,314992,False,False,False,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",4,0.7587966229681455,0.6,CONCENTRACION,CLUSTER_004
8812291,21114314993000361000000000U7,TALLER DE ESTOPA JS,,314993,Fabricación de productos textiles reciclados,0 a 5 personas,PRIVADA,NINGUNO,CALLE,NINGUNO,PRIVADA,NINGUNO,PRIVADA,NINGUNO,,SN,,,,,COLONIA,EL SALVADOR,,,,72320,21,PUEBLA,114,Puebla,1,Heroica Puebla de Zaragoza,4491,2,,,,Fijo,19.03928923,-98.13463567,2019-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,314,3149,314993,False,False,False,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",20,1.0,1.0,CONCENTRACION,CLUSTER_020
3319880,21134315225000051000000000U8,TALLER DE FABRICACION DE BLUSA SIN NOMBRE,,315225,Confección de prendas de vestir sobre medida,0 a 5 personas,CALLE,20 DE NOVIEMBRE,CALLE,INDEPENDENCIA,CALLE,VICENTE GUERRERO,CALLE,CALLE DE LA CAMPANA,220.0,,,,,,LOCALIDAD,SAN MATIAS TLALANCALECA,,,,74110,21,PUEBLA,134,San Matías Tlalancaleca,1,San Matías Tlalancaleca,003A,4,2481711269.0,,,Fijo,19.32687136,-98.50202252,2014-12,True,True,False,False,False,False,True,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315225,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",12,1.0,1.0,CONCENTRACION,CLUSTER_012
10233658,21132315223000623000000000U3,TALLER DE GORRAS,,315223,Confección en serie de uniformes,11 a 30 personas,CALLE,PUEBLA,CALLEJON,BAJA CALIFORNIA,CALLE,NIÑOS HEROES,CALLEJON,BAJA CALIFORNIA,27.0,,,,,,COLONIA,SAN ISIDRO,,,,74122,21,PUEBLA,132,San Martín Texmelucan,13,San Rafael Tlanalapan,0444,12,2481043689.0,,,Fijo,19.28839469,-98.4642186,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315223,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",13,1.0,1.0,CONCENTRACION,CLUSTER_013
11085300,21074315223000521000000000U3,TALLER DE HECHURA DE OJAL SIN NOMBRE,,315223,Confección en serie de uniformes,0 a 5 personas,PROLONGACION,RAFAEL SERRANO,CALLE,AQUILES SERDAN SUR,CALLE,SAN MIGUEL,PRIVADA,AQUILES SERDAN,,SN,,,,,LOCALIDAD,SANTA ANA XALMIMILULCO,,,,74169,21,PUEBLA,74,Huejotzingo,29,Santa Ana Xalmimilulco,0025,18,,,,Fijo,19.20813037,-98.38657235,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,315,3152,315223,False,False,True,False,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",8,0.9015649113354766,1.0,CONCENTRACION,CLUSTER_008
7517353,21143432111000012111000000U1,TALLER DE HILOS MARY,,313113,Fabricación de hilos para coser y bordar,11 a 30 personas,CALLE,BENITO JUAREZ,CALLE,BENITO JUAREZ,CALLE,SAN JOSE,CALLE,REFORMA,28.0,,,,,,LOCALIDAD,TLACOTEPEC DE JOSE MANZO,,,,74133,21,PUEBLA,143,San Salvador el Verde,16,Tlacotepec de José Manzo,0043,16,2481604380.0,,,Fijo,19.27506027,-98.48532836,2019-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,313,3131,313113,False,False,False,False,True,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",-1,0.0,1.0,DISPERSO_RUIDO,RUIDO_DISPERSO
6271890,21114314993000132010000000U2,TALLER DE JERGA LILIA GONZALEZ Y ESPINOSA,,313210,Fabricación de telas anchas de tejido de trama,6 a 10 personas,CALLE,MIRASOLES,ANDADOR,SEGUNDO DE MIRASOLES,AVENIDA,BUGAMBILIAS,CALLE,BUGAMBILIAS,212.0,,,,,,COLONIA,BUGAMBILIAS,,,,72580,21,PUEBLA,114,Puebla,1,Heroica Puebla de Zaragoza,086A,31,,RUSO1965.RFF@GMAIL.COM,,Fijo,19.01035003,-98.21376237,2010-07,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,313,3132,313210,False,False,False,True,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",20,1.0,1.0,CONCENTRACION,CLUSTER_020
11072217,21114313220000171000000000U9,TALLER DE MANUALIDADES,,313220,Fabricación de telas angostas de tejido de trama y pasamanería,0 a 5 personas,RETORNO,CUARTO RETORNO 5 C SUR,CALLE,NINGUNO,AVENIDA,109 PONIENTE,CALLE,7 SUR,11.0,,,,,,CONJUNTO HABITACIONAL,LOMA BELLA,,,,72490,21,PUEBLA,114,Puebla,1,Heroica Puebla de Zaragoza,4082,16,,,,Fijo,18.99232965,-98.2357432,2024-11,True,False,False,False,False,False,False,False,False,True,False,False,INCLUIR,SIN_EVIDENCIA,True,313,3132,313220,False,False,False,True,False,False,False,False,"Universo sectorial ampliado de actividades textiles, confección y servicios de lavandería/tintorería potencialmente relevantes",20,1.0,1.0,CONCENTRACION,CLUSTER_020
